participant, method, gaze, completion, cur_finger, prev_finger, type, duration_ms, cand_total, cand_index, time_since_1970_ms
zhenyi,TapGazer,MS,NC,b,,tap,0.0000,0,0,1599324128928.1200
zhenyi,TapGazer,MS,NC,e,b,tap,466.5975,0,0,1599324129394.7100
zhenyi,TapGazer,MS,NC,t,e,tap,342.3432,0,0,1599324129737.0600
zhenyi,TapGazer,MS,NC,t,t,tap,342.7404,0,0,1599324130079.8000
zhenyi,TapGazer,MS,NC,e,t,tap,436.0334,0,0,1599324130515.8300
zhenyi,TapGazer,MS,NC,r,e,tap,436.2120,0,0,1599324130952.0400
zhenyi,TapGazer,MS,NC,space,r,selection,1837.8287,0,0,1599324132789.8700
zhenyi,TapGazer,MS,NC,Space,space,selection,2089.2087,2,0,1599324134879.0800
new session
zhenyi,TapGazer,MS,NC,i,,tap,0.0000,0,0,1599324210979.2300
zhenyi,TapGazer,MS,NC,j,i,tap,652.9296,0,0,1599324211632.1600
zhenyi,TapGazer,MS,NC,f,j,tap,1651.2146,0,0,1599324213283.3700
zhenyi,TapGazer,MS,NC,l,f,tap,372.9526,0,0,1599324213656.3200
zhenyi,TapGazer,MS,NC,f,l,tap,686.1424,0,0,1599324214342.4700
zhenyi,TapGazer,MS,NC,m,f,tap,505.8079,0,0,1599324214848.2700
zhenyi,TapGazer,MS,NC,a,m,tap,685.6219,0,0,1599324215533.9000
zhenyi,TapGazer,MS,NC,t,a,tap,622.2898,0,0,1599324216156.1900
zhenyi,TapGazer,MS,NC,i,t,tap,1931.4709,0,0,1599324218087.6600
zhenyi,TapGazer,MS,NC,o,i,tap,1619.6736,0,0,1599324219707.3300
zhenyi,TapGazer,MS,NC,n,o,tap,1931.9398,0,0,1599324221639.2700
zhenyi,TapGazer,MS,NC,space,n,selection,1152.1767,0,0,1599324222791.4500
zhenyi,TapGazer,MS,NC,Space,space,selection,2119.5248,1,0,1599324224910.9700
new session
zhenyi,TapGazer,MS,NC,i,,tap,0.0000,0,0,1599324210979.2300
zhenyi,TapGazer,MS,NC,j,i,tap,652.9296,0,0,1599324211632.1600
zhenyi,TapGazer,MS,NC,f,j,tap,1651.2146,0,0,1599324213283.3700
zhenyi,TapGazer,MS,NC,l,f,tap,372.9526,0,0,1599324213656.3200
zhenyi,TapGazer,MS,NC,f,l,tap,686.1424,0,0,1599324214342.4700
zhenyi,TapGazer,MS,NC,m,f,tap,505.8079,0,0,1599324214848.2700
zhenyi,TapGazer,MS,NC,a,m,tap,685.6219,0,0,1599324215533.9000
zhenyi,TapGazer,MS,NC,t,a,tap,622.2898,0,0,1599324216156.1900
zhenyi,TapGazer,MS,NC,i,t,tap,1931.4709,0,0,1599324218087.6600
zhenyi,TapGazer,MS,NC,o,i,tap,1619.6736,0,0,1599324219707.3300
zhenyi,TapGazer,MS,NC,n,o,tap,1931.9398,0,0,1599324221639.2700
zhenyi,TapGazer,MS,NC,space,n,selection,1152.1767,0,0,1599324222791.4500
zhenyi,TapGazer,MS,NC,Space,space,selection,2119.5248,1,0,1599324224910.9700
zhenyi,TapGazer,MS,NC,s,Space,tap,13390.5043,0,0,1599324238301.4800
zhenyi,TapGazer,MS,NC,u,s,tap,342.9745,0,0,1599324238644.4500
zhenyi,TapGazer,MS,NC,p,u,tap,218.8533,0,0,1599324238863.3000
zhenyi,TapGazer,MS,NC,e,p,tap,217.1932,0,0,1599324239080.5000
zhenyi,TapGazer,MS,NC,r,e,tap,249.2210,0,0,1599324239329.7200
zhenyi,TapGazer,MS,NC,space,r,selection,2243.0744,0,0,1599324241572.7900
zhenyi,TapGazer,MS,NC,D,space,selection,5699.8775,1,1,1599324247272.6700
new session
zhenyi,TapGazer,MS,NC,i,,tap,0.0000,0,0,1599324210979.2300
zhenyi,TapGazer,MS,NC,j,i,tap,652.9296,0,0,1599324211632.1600
zhenyi,TapGazer,MS,NC,f,j,tap,1651.2146,0,0,1599324213283.3700
